0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,name
-3597.286,102962.79,-806.00165,-1883.8922,-2678.555,-4566.6406,24571.38,-325.23633,-59098.895,5556.476,3057.5083,-25371.645,-9176.375,38.58856,-13077.657,-36743.047,5801.504,-26045.549,-5798.8228,-1110.5388,-37973.33,-4466.2104,-5249.3384,-20009.215,670.9644,6917.906,142.27847,-3052.045,-3038.4492,8439.431,2600.7188,-22414.408,-21666.756,5076.629,1723.6886,-9331.291,51765.6,-86808.04,-12362.378,-23376.5,-3602.2715,-395320.56,19897.764,-8052.934,-3403.5305,7131.8096,-3494.3955,-80694.45,-23302.09,-22761.992,3856.363,36559.82,4534.31,233.44008,421.1715,15009.014,13204.797,11848.265,19135.975,-4708.378,28820.79,1509.4646,-7418.0312,-2543.0793,-785.25397,-22075.785,-860.9723,-2479.1812,123747.01,1453.0245,3218.7173,-443.4759,-1900.9086,189.66966,52993.12,15859.712,-3083.9397,-6070.75,32433.486,18179.955,-38024.63,22379.232,79892.6,52870.625,-70823.305,-38801.742,-23836.447,24780.564,130239.57,18353.719,-184818.83,3608.4036,2301.1172,6686.5356,10681.783,20089.523,7402.6675,-9513.463,-8323.619,-12490.854,-31496.617,-4834.0083,1683.731,14253.624,-7214.623,-12065.938,8714.507,-24090.625,-13776.054,448.85724,-1795.5596,-9004.598,27853.268,6991.421,687.5613,14492.157,-22513.38,7079.4424,24799.992,33690.023,-34585.637,9379.563,1252.2148,-177.90823,74194.7,-1408.0643,-91514.22,-4827.9355,39645.55,-2568.5505,424.59528,-23259.914,2694.2356,-7310.503,-14763.208,-3134.2642,-52850.91,249580.05,4755.824,68825.39,-3315.3171,40888.47,-10282.467,-8657.513,5752.6636,-14907.579,1006.6063,4212.5474,-127.72171,14756.574,11283.315,-18030.508,-21687.064,1302.5212,-22133.77,166.40747,-11332.27,6903.0107,-101258.91,-2237.4377,-34965.977,809.70447,-16953.346,414.8651,-71625.73,25547.66,51383.68,-2421.6685,9955.889,9170.563,-23249.309,4102.6387,-6288.9014,6928.8735,33945.89,1167.7084,-93981.17,35037.586,3153.0173,-15689.728,-4748.7744,32189.816,1407.7139,4561.306,-44816.062,8766.801,5321.2153,11909.18,-2234.656,19254.113,90704.93,-2301.9312,mp-7979
7274.7744,37450.08,-2490.899,10844.5625,20507.182,-13015.73,-4225.172,350.1535,-8195.262,79154.82,-13739.241,-5722.761,-1911.6852,-7106.2056,6547.826,-46137.95,4995.5684,12211.9795,-3576.2798,-14401.817,-24768.355,-7208.1006,-8257.563,-9134.462,-1457.7034,-11972.512,1163.3528,-2168.2852,18302.977,-696.6973,987.51575,18.678493,1112.7358,8056.959,-5258.8066,2686.312,48203.81,-2999.1255,-1941.5677,3649.8962,12201.804,-87684.23,7120.9883,-6169.226,-23397.773,5529.3765,1766.8865,-80076.96,-7484.9814,33629.633,22.3083,3445.9985,3486.0767,11.141933,-3840.498,4254.816,360.55698,-232.70981,24864.29,-9244.324,4017.2844,-13333.004,-10998.366,-6971.3296,9.549725,-6758.537,-498.31775,-4443.7446,66631.78,-5241.8564,6415.966,-9178.282,-4572.378,9955.447,33841.133,-6896.677,-14726.576,-5544.597,8444.227,28815.777,-1000.8183,11805.6455,27881.393,39781.797,-29187.994,-10703.177,-45686.426,12452.338,97023.016,1956.6346,-15637.427,42018.5,-4941.4185,-4225.8545,-1708.9097,-2481.8442,2026.8395,8942.933,-3326.728,-39734.03,-15002.611,-7995.3105,7150.553,-11074.752,709.9282,10410.315,-270.6261,-10162.046,-2891.0774,-3178.3462,-8136.994,7235.0093,-3035.6719,5230.635,-10768.282,8335.089,5775.1,6101.5986,12742.2,-732.68066,26117.299,-5471.7246,6316.347,96.64015,12576.977,33.157276,-67925.05,-6795.3813,8447.574,2902.5178,422.44214,-16524.344,6777.199,7686.1494,793.178,6131.3076,-50151.758,23889.385,-31842.883,5623.6694,-531.1607,27162.629,-3222.062,-16307.771,-6606.373,5036.5884,565.0894,-35.5817,-483.00308,6472.5166,3072.654,-1471.7422,-29370.229,-26341.041,-28102.201,-8361.289,-5504.6436,57152.082,-40953.99,-4926.702,-11511.045,761.81995,-6740.326,-18749.771,423.26562,13026.635,57872.42,12149.552,1464.9974,-1599.3077,-13433.366,505.17474,-995.65594,6925.386,123409.95,-21034.275,-105994.125,5152.0728,-493.45514,-46312.562,-7369.1807,59553.52,11402.284,-2978.4917,2216.8394,7028.646,4948.814,-11752.282,-7194.4995,15152.394,80630.27,-4998.66,mp-1539317
13543.934,20871.174,-6943.42,-883.1566,20546.38,3065.3652,-80.033905,1611.2379,-11389.962,165438.14,-17418.656,-59526.484,-2823.7246,-12190.392,-4266.077,-11632.079,-1507.8639,14623.467,-1261.8328,101558.61,-28350.22,-604.8545,-23625.8,27830.635,-296.7197,-31910.848,1343.5172,65.251724,2190.654,22298.71,-1487.1521,3627.1294,5222.92,11278.861,-6270.336,-6447.06,-13342.383,-5418.0225,4662.456,-12623.424,-4514.6084,-3843.0752,8452.163,-1665.6058,16821.725,9696.037,6467.093,-147168.75,105.96862,-4735.8003,12740.056,14836.642,10197.692,-47.032135,4127.119,14990.305,3860.6284,7418.644,45736.887,10581.6455,7369.7935,3352.7356,-56377.484,-3314.3218,113.90979,-328.30008,-568.5119,-757.1643,117010.87,-4089.41,14903.809,17195.16,2099.8345,15589.173,51498.387,-4973.094,-387.0894,-3650.6711,27504.953,60159.395,4941.264,5581.8667,68023.336,125632.45,-67113.15,-15278.3125,-70807.84,23950.059,41938.99,-25269.406,-27359.33,12312.857,-4026.54,689.40234,-4436.8516,13588.4375,5905.5054,41841.348,-53890.996,18.46835,-9661.444,3857.271,5092.4116,-386.43457,-3817.358,-3899.1821,-1455.9438,-7308.06,-34161.51,2091.4495,-30825.2,5020.5913,9238.189,341.18066,-10209.566,26432.127,-7092.313,2141.1365,17603.727,-20577.793,6584.9644,-84215.11,-276.62143,-200.98581,-4696.15,99.369125,-11625.941,-14026.945,28952.652,12786.8,576.1517,-9723.183,2263.2886,304.14404,-6817.7563,-1759.3674,-80746.79,4045.0474,23561.957,88674.14,-4042.4336,-10657.854,-17832.453,14052.837,-142556.73,145.78104,490.70346,-862.2645,-80.450714,-5099.3525,4560.1772,-6800.9683,-12550.966,-14375.154,-46836.35,-17678.64,3842.7295,-14562.023,-143249.47,-14858.015,-58601.344,1837.4441,3795.1797,-19553.08,10893.6,-45.521114,140902.58,38263.324,16457.203,12975.371,-10960.662,4034.673,-5655.4683,21293.377,75561.45,-33990.793,-171588.17,6841.7,-6496.0884,-63619.035,5917.952,5401.7344,-14559.194,-2061.1226,-2978.1777,40788.082,107.60716,-11843.262,-2896.1406,-2544.2266,4868.722,-16974.012,mp-756510
189408.44,285960.62,-49784.54,10420.056,38996.76,-16116.604,-47274.918,-10650.18,27377.422,-231412.6,-23487.04,-36953.156,-144430.56,59924.59,8160.2324,101080.81,-34839.7,166198.56,39668.83,60418.61,-33226.49,-41855.375,38130.44,48812.55,-5652.693,26411.27,-133709.78,-7222.1836,44883.402,38507.777,5529.6357,73385.64,26024.53,-411.565,-34661.31,-8384.876,65415.695,52387.64,-41733.72,-89643.734,-135914.53,24337.35,115389.305,5412.6035,37090.613,37670.01,55415.492,-86044.5,13225.44,221269.83,82600.25,-8082.498,28823.78,-248.00546,-2928.6816,12656.932,1945.2625,2408.7234,-20799.197,-25510.828,-52998.88,-53899.906,-27410.904,-24640.209,609.6338,-29756.254,-74.2115,-9523.014,55627.227,11650.267,11904.105,73835.945,-25263.004,711.8267,80543.01,-78405.836,4570.6123,-20614.166,9840.537,-6753.073,-153984.56,61339.28,457415.25,-17677.066,36599.008,-137880.27,9759.7705,630410.94,74632.51,99494.125,-1465749.8,-49557.133,25102.314,-68883.984,11151.887,-42239.316,-9241.997,167.37271,137474.8,-27586.764,-296515.8,-1563.1841,-3737.7766,11549.859,12568.762,-12162.841,-723.8011,6098.2383,-196122.67,14181.359,24906.074,406989.16,29024.38,26886.69,1793969.8,-41373.363,-107812.31,11412.561,-11879.73,18093.254,-165807.67,477403.94,127469.13,-1147.0513,251234.88,4457.7817,-189911.66,17447.795,-4183.1997,419671.9,2052.209,-26204.598,-12312.052,-29933.27,-10566.445,27832.936,-34915.3,310402.66,3473.0303,86248.0,10206.55,20295.074,-100404.29,-460519.12,29899.062,87221.46,-2193.1013,-30301.578,-586.56024,23033.744,-497731.38,29225.3,46003.06,17212.453,12681.735,-26617.693,257292.16,-1176.5332,58743.45,137653.2,-20079.137,6712.192,-768.4486,-10165.95,65835.805,-45034.67,56426.7,37473.336,19193.303,-290941.06,-694931.5,4900.877,-163871.16,36572.883,90436.39,-39219.027,-45591.566,3614.4219,-176217.14,-6002.816,19309.467,14859.915,41045.11,4331.9536,-38761.508,72863.28,1093.9636,-27562.117,3144.7385,19838.924,41576.18,-72697.14,mp-27740
23486.875,205209.58,-5451.54,1147.191,-57868.7,-2771.4265,2466.0952,12834.466,-29219.887,-86775.57,-1464.2611,-698.86816,-32086.885,6303.125,-546.13635,13586.766,220.83324,127888.0,-11174.123,27270.0,-18466.492,-35363.43,-9393.599,4128.067,1805.9775,518.0868,-23058.52,-7507.4697,61043.01,126156.484,7499.3438,11624.637,18263.7,21299.469,-6898.4805,-4478.901,37145.22,-82875.984,16667.6,-45620.836,-12005.313,-20836.031,26036.088,-66293.77,76896.03,9633.24,19642.62,5738.7173,-13954.39,12902.893,7948.111,-1138.9415,32559.46,655.31366,-1747.2933,1220.7549,-52453.07,-46371.4,-490.61218,-7891.9116,9674.588,-37465.176,-23927.762,-22404.709,335.2257,-15840.195,378.3051,-463.5314,26758.697,11934.529,36998.72,33695.8,-8262.926,2779.3252,4027.8076,-897444.4,961.8428,-98611.43,30922.883,36663.047,-27164.256,94406.75,244810.06,-6223.5396,35905.65,-46500.285,1783.6506,286474.34,17318.229,18672.086,-907486.25,-10747.024,-44828.527,-501432.0,-2059.9666,-44536.61,5777.162,5111.87,178826.62,11947.434,-120103.164,-138924.56,2798.1382,37620.996,-14738.561,4110.5547,342.55463,-113287.27,-27862.076,-16537.367,-1253.1493,129222.43,-904.3651,-56669.785,247784.7,38285.92,-61697.914,10475.318,-3874.2412,-43848.973,-146595.2,35095.645,929.2626,25.894371,190641.77,-218.7922,-36933.285,-9638.646,29533.64,217241.72,385.88733,-18908.215,-4422.72,-1382.7327,-5076.0654,3120.534,-39554.855,288613.06,-19417.928,7793.007,-12303.47,-14608.908,-71019.96,-72557.125,-2034.3009,-24732.182,203.11166,-5295.9653,1014.0856,-24598.812,-48163.613,469.23657,9269.289,-7211.8755,-27659.318,-26255.293,105891.69,-1256.9414,-26332.027,9464.606,-1069.8208,7809.8286,15460.101,-26883.621,-83675.234,-10578.003,14572.453,53190.562,4901.511,-25710.748,-188404.16,-25680.15,-24198.133,-10747.994,-8860.12,-39567.69,-6232.832,6184.394,-57935.887,9168.514,13775.089,-28285.7,11547.033,-39597.582,-17829.01,44453.133,8831.244,-32815.582,-14466.337,25043.121,7606.0786,-34254.395,mp-865909
-941.6122,-11997.016,-295.8902,4140.92,-3285.1714,-5121.8184,-6205.913,2027.9287,962.91345,324803.1,-3516.4768,-44783.66,38085.285,-9627.884,12526.386,3946.5515,696.3427,-8866.304,5979.4795,170196.88,-48689.86,-15358.798,-14127.3955,49364.83,-900.7855,-19810.084,3164.0718,9701.439,-3070.2896,7947.603,-523.7231,-3371.2817,1670.5352,-10039.234,4699.5557,-53274.465,409.97656,267.61646,-10118.785,-14077.296,-2926.2612,-7422.22,10188.323,-4394.0205,8624.806,9852.718,1012.68567,-289275.5,-12323.798,1407.7687,3638.4246,-1859.6091,4257.8706,-130.60826,-4930.3726,22277.217,9786.693,8497.019,57990.88,7215.4673,1551.2416,3345.5376,-30671.617,-18813.463,184.82506,-1417.4132,-261.0736,434.44913,5367.525,-4604.6357,-1154.0186,7541.458,1338.8282,5040.68,22609.184,-2619.5476,30650.46,520.4523,4404.682,46056.01,-6319.2036,-1235.2637,-4581.6973,126390.35,-24047.484,-12250.338,-62531.273,11205.785,31505.371,-21601.883,-17071.809,-11638.766,-6386.5054,28690.506,-1655.6586,8697.058,560.68066,99447.94,-96128.62,2011.33,-4025.9678,7705.458,7178.5054,19515.723,1739.7437,5076.819,-6245.131,2627.1338,-7827.473,8126.3955,-17989.742,9316.119,-8416.54,17662.781,-57669.613,4059.9106,-1233.7242,-2013.4777,282.48987,2737.5015,-1731.9009,-85297.64,2636.138,-290.0725,7956.6772,299.79483,25741.549,-4983.1753,-1165.2217,-7850.9746,196.17297,-3893.3535,872.1755,1158.1263,-4301.5547,-3307.8647,-44576.47,4512.351,30456.883,73923.484,502.63058,3064.6638,-10336.818,32148.627,-258027.17,3837.6187,9.54501,12138.738,-252.53215,-28222.562,3470.0286,-9251.739,-12802.427,9037.6,-37478.46,-5227.177,6881.876,-14748.386,-191809.45,-25188.365,-52897.395,3122.515,-1905.7944,-22807.623,21413.467,4810.2056,208471.17,15322.609,14363.546,4629.412,-6992.9966,4641.7656,-19170.96,16214.733,126496.49,-34942.17,-38228.6,1776.0166,-11206.012,-108550.55,11052.403,-256.37875,-2505.892,-2825.38,-37570.902,1499.2024,3530.2612,7266.6567,-110.43349,-24911.805,-5205.736,44530.26,mp-1209238
8199.472,11219.83,-3190.2278,4186.0,9551.477,-1252.588,-10750.377,2823.0398,-11767.256,153469.62,-5281.3555,-67389.87,-742.3544,-14691.78,20986.697,2488.3137,-1915.2994,-4452.839,-789.6955,79666.516,-28089.357,402.76855,-31681.062,20207.633,-853.7335,-10480.783,3310.3577,3523.9307,17893.896,8398.269,2669.9697,207.28339,6694.1807,-3872.83,-512.8923,-16174.088,793.5625,-10047.911,2584.651,-16968.715,2479.6472,-7196.267,3076.4673,3987.1338,13395.043,26954.264,701.6047,-136327.44,-38562.04,35843.332,-1714.6274,8491.669,3444.4558,-167.4887,-309.9751,-5216.8345,9150.164,-6286.5244,71850.36,-5863.277,6253.176,-7180.2246,-31634.402,-6573.412,-214.28427,463.56058,-561.48315,-1988.2075,52768.035,2946.8687,26100.408,22985.97,-1794.3822,-8451.102,13193.132,-17058.871,-7317.903,-16561.078,13457.589,44846.105,-13450.3,12958.117,21257.533,58207.348,-49381.06,-16552.842,-47774.055,9423.308,149527.89,-11222.482,-22123.406,3605.837,-9759.91,-3262.6187,-8204.561,4416.779,246.32254,31565.562,-30243.873,-2400.9683,-13284.898,-42162.402,7669.518,4963.6475,-4519.6943,-1371.2947,-9976.102,4806.5327,-51376.34,-9265.474,-9020.596,-1035.1036,2864.9265,5507.532,-47954.223,10155.766,-9673.871,-1204.0615,6318.5747,-15594.56,-14647.147,-78003.64,-3251.136,176.66144,3123.1262,-288.26785,-17996.322,-5829.8394,44418.688,-5175.971,-24.672625,-7320.059,12725.032,-2267.2363,-13892.706,-9627.139,-52716.992,18646.33,11361.988,48363.91,-3864.8608,26144.076,-10817.121,-6887.5054,-107470.0,14558.204,-188.9021,-903.69885,-319.28333,6296.0337,3146.0286,-26015.318,-26055.635,-22135.707,-39088.895,-12274.939,12484.74,-4233.8604,-107800.64,-7983.553,-25652.107,1578.1478,6776.7407,-29216.867,17803.24,-3877.2405,141693.22,28952.55,-4904.0605,6274.837,-31876.713,3116.654,-5249.3345,13000.094,105182.65,-44708.598,-65424.805,7735.297,-4450.738,-106536.484,3416.5972,7430.6562,9809.376,1761.775,-2806.4707,13184.844,6191.9746,-1450.332,1859.5612,-48901.418,35449.492,-6675.8213,mp-755652
24851.252,21245.771,770.73804,-53800.008,34181.71,22298.174,10101.632,-8850.05,-102237.31,1754.6493,-4134.747,-37253.008,3572.067,-6916.793,12463.708,2774.1028,19207.275,-20078.326,-4434.6934,-4885.155,-61268.13,-22386.787,-901.46497,-8634.907,2248.2522,-40162.066,-12962.013,-28296.844,86156.76,10991.817,10544.17,-13452.294,-13936.118,-36330.734,-36606.68,16779.553,79590.0,-86801.01,42595.715,-18394.936,85002.85,-214637.2,13351.797,-14180.376,14030.522,21681.158,-2590.8828,-67735.04,-37570.668,-9148.427,1410.4108,-12175.792,-328.4339,320.8693,2925.4258,34704.69,-52824.684,4853.8115,19431.736,2109.6978,5943.317,-8097.8027,-48689.83,-41148.227,-1235.1989,12101.54,226.9786,3112.277,7957.703,18744.38,-1347.6421,34023.906,-493.16238,65113.293,135318.4,-9424.957,37196.117,27772.451,-6507.369,16822.945,-9688.188,28624.383,193254.44,103622.94,-40146.027,-94130.336,-34712.035,-79.9085,100029.67,67857.42,-38251.34,10913.695,14064.067,-35694.863,5047.2964,7974.222,-5272.5913,25683.9,7723.0293,-14397.412,-27695.154,-16101.961,17228.521,7719.0264,-16687.98,16473.377,-4943.526,65371.973,-15718.347,-15452.071,-4124.1504,14826.778,46516.97,9144.356,9325.863,9985.861,4721.7686,-3441.1572,3173.477,-25960.188,-110535.2,-13229.678,-18676.723,475.98444,-12054.1045,544.76794,-51275.02,-43671.094,45325.793,4842.333,604.3819,-6671.6274,2173.893,-14190.636,-29314.07,91769.52,-141400.81,104636.805,-30754.676,23116.389,15469.22,125272.27,-25297.887,-14676.119,-31851.922,-30378.262,-386.55554,-1678.5747,200.70938,-4517.4863,8196.784,49073.746,-57700.56,-3049.551,-45333.668,-26728.99,805.2613,47723.195,-921.839,-426.82687,-41932.594,4203.375,-1464.4934,6195.5854,34404.188,-26282.984,32210.936,30168.275,11977.776,2731.5938,-7780.5693,-3616.8625,17986.727,25985.38,13026.785,-5822.5767,-63234.156,28752.182,2821.983,-1165.561,-27423.744,41973.164,-22325.617,8436.248,-83547.65,24259.45,15335.119,-12835.892,-4204.4834,46186.812,42141.203,2701.5652,mp-1196984
14128.35,123575.13,-12979.531,-5525.106,-51941.656,-14635.688,-24167.297,-908.57666,-29268.314,-14959.421,15279.332,-3306.9502,-7381.9204,4158.2363,18290.57,-29067.914,-859.5382,55782.152,-6442.531,16190.376,7932.45,-22074.324,23502.18,9453.66,5713.868,-3148.4666,-20673.25,-4924.0073,12991.459,60603.8,2098.2236,48346.59,9634.138,-10104.11,-8370.527,-4687.149,4935.055,-10097.779,7026.4087,-38898.117,-52976.996,15905.39,16105.049,-68699.26,36943.17,12175.021,9198.9,-8192.342,10238.372,-66220.086,7367.9175,3633.6116,19730.186,135.31152,-1557.9805,-15696.603,-43330.67,-2709.7256,4248.2505,-15526.227,-7183.0396,-15958.859,-26708.678,-6649.548,-101.44152,-10257.06,-111.31266,376.8378,-48295.05,2004.569,3139.7146,-26927.748,-4806.513,-3565.4082,33885.59,-382512.16,15487.43,868.77094,36444.367,24335.441,2672.796,5662.9097,252183.05,-2594.526,6772.272,-21371.814,12477.923,76086.41,15901.606,4262.4497,-706845.3,3223.2979,-67311.45,-263507.5,6796.6597,16227.852,-13144.915,2232.439,144781.47,-11652.661,-94375.875,-10314.249,-6154.683,30319.19,-9188.864,-1411.7944,1600.2709,-66191.88,-56133.586,2245.4202,2411.4956,43576.727,-33226.723,-36768.457,304355.53,8815.305,-18103.814,-3937.0317,-16308.767,37125.65,64740.6,64661.953,8264.427,25.20623,234870.11,-293.5663,-53644.45,-7176.038,513.7646,166837.48,111.14552,-34272.773,-24216.31,1300.2948,-5154.82,9008.651,-10658.09,98748.03,4437.1494,-9776.99,4181.935,-3843.9023,-29360.713,-181555.7,-1962.1902,18822.387,-761.8794,265.47968,468.4655,-4884.762,12618.866,25138.787,6419.282,-2056.2334,-20238.691,-14566.262,34244.348,-5716.3125,-12239.454,3144.795,-6062.294,15678.742,-13230.552,-14475.157,-3030.9492,-109269.44,-7877.627,41245.367,-11499.83,1876.9506,-343516.62,-22297.756,-28868.234,10331.212,7255.4414,-4780.079,-6964.7666,-3758.0537,-21496.771,11622.827,1372.7677,4862.38,-29432.47,27257.887,12970.458,-3454.07,17219.053,-6138.313,1315.8328,-16017.934,19044.502,-8951.262,mp-1078231
27730.014,105415.58,-6888.65,24548.79,-3144.0796,-1273.8148,-6100.3394,5572.634,-37330.305,-11709.68,-3291.5042,-5067.473,-3168.8523,-2809.804,5348.4487,-7793.372,-5265.7397,110599.99,-6774.9897,6775.8687,-3992.167,-4835.2515,2998.035,7936.9927,-35.214607,-1015.03595,-45390.906,642.5819,21175.484,119739.87,6523.0884,22043.531,7841.422,19307.975,1152.2098,-4787.344,4791.121,12292.702,14314.979,-57217.7,-33895.76,4496.997,42119.758,-99995.516,29680.346,7227.4697,5536.507,-10025.658,-39475.035,17770.363,-1722.6625,-2148.4275,-3395.858,622.55054,-5360.6104,17299.262,2452.2205,-10401.438,4412.172,-3676.0225,12185.566,-9700.241,-13818.125,-3644.9521,139.27954,-7611.082,-288.39017,-614.0818,12004.935,-8775.006,14338.224,22000.842,-3218.1719,354.49347,11273.403,-754254.7,10691.167,-12426.645,-2653.0603,4622.2485,4619.9824,61692.04,138755.9,2028.7051,8493.896,-12062.603,2445.658,217965.73,5046.875,512.75256,-855223.1,-12118.886,-852.4143,-395212.12,3726.8208,-770.61255,3701.4365,3418.8704,138485.31,-5028.5576,-93649.37,-9898.581,5605.521,-7971.573,-10638.52,3826.2795,861.5112,-32002.742,-75106.47,-7102.185,496.08237,65852.51,10640.449,-58686.84,214430.84,11092.399,-3488.056,8884.34,5213.4443,1903.5927,11878.555,34469.023,14129.97,538.11115,94777.39,-552.8739,-81508.65,4722.927,5659.2534,150083.16,-81.27596,-33798.562,7455.566,-3525.491,-464.5577,-4984.119,-20094.268,111817.266,-34785.516,11638.487,-9041.953,-5524.1875,-56093.63,-59136.195,7391.493,-4873.0747,171.12459,-5146.722,692.0487,-16509.184,-17451.924,1559.2686,19638.164,-7157.136,-7605.8853,-18219.37,7672.8286,-696.9284,-6190.166,5984.8545,2602.1318,5607.5747,-2563.2336,-9845.846,31589.986,-43183.715,-701.0104,12666.338,1666.5508,9621.562,-57412.84,-21011.232,-19316.203,-1046.1873,11248.236,-11308.38,-5627.1245,1704.6873,-54995.984,379.0732,6845.1675,-12732.99,-54384.48,-36529.367,8080.657,7040.172,25782.738,-1664.4205,-1593.7532,-4731.4453,25812.316,-30679.63,mp-3525
