id,density
mp-1206848,4.498783959
mp-1206836,4.62679045
mp-1205847,4.266311217
mp-1213351,3.375434516
mp-641923,4.046001515
mp-27832,4.548495975
mp-23060,5.019904235
mp-30062,4.630451649
mp-1209606,3.201793933
mp-7457,4.480943264
mp-1214168,3.695269958
mp-28084,4.078800973
mp-23405,4.062434808
mp-600186,3.623707547
mp-27662,3.989546447
mp-579560,3.972975832
mp-27214,4.000913232
mp-27636,4.333491241
mp-30167,4.801335138
mp-22876,3.98538662
mp-29423,4.309519272
mp-569028,3.833609152
mp-27833,4.456701373
mp-1068340,3.986009555
mp-540957,4.36684888
mp-31076,5.181752904
mp-27336,4.354763692
mp-1201566,6.37401198
mp-621938,4.415352071
mp-569548,5.130668149
mp-569118,3.932281516
mp-569323,4.00863751
mp-28453,5.272797428
mp-23451,3.976185328
mp-570324,3.754616124
mp-569152,3.575402659
mp-28110,4.881466737
mp-27333,5.246993433
mp-27544,4.3322781
mp-28377,4.29530995
mp-29287,3.777015692
mp-27517,3.808470437
mp-1209441,3.645942528
mp-1025549,6.559809804
mp-23029,4.285005323
mp-571011,4.044456429
mp-569984,4.336914903
mp-569309,3.018523516
mp-568620,3.908680794
mp-27409,4.231861192
mp-22991,4.523940654
mp-27332,3.682427476
mp-28328,3.971292272
mp-1836,7.714674113
mp-27641,3.551646705
mp-1205667,6.624793416
mp-1206511,4.208775416
mp-1208181,6.406998857
mp-1205652,4.920668243
mp-1206662,4.279745171
mp-1194576,3.713209561
mp-568244,5.252510916
mp-28329,5.550622733
mp-1209364,3.435960997
mp-23076,2.729932432
mp-582423,4.056780779
mp-28070,4.166629334
mp-1232302,3.307791467
mp-568005,4.797825693
mp-600089,4.419040947
mp-1209403,3.870186192
mp-27834,5.250926594
mp-5704,5.615474925
mp-22978,2.869827061
mp-29936,4.457200066
mp-4160,6.215163955
mp-23481,4.281340324
mp-1204449,3.912447261
mp-31287,6.029985877
mp-669458,4.55560207
mp-573702,4.21886363
mp-1193242,3.168061368
mp-27300,4.752051655
mp-540881,4.236468773
mp-23038,4.132924883
mp-30996,4.435532526
mp-570099,3.881267922
mp-1201723,4.434897776
mp-647426,4.460553928
mp-7684,6.971301342
mp-568666,5.033162186
mp-504968,2.347220336
mp-614013,4.226897499
mp-23486,3.246404951
mp-1200647,3.941497616
mp-27804,3.117618344
mp-23467,4.27318622
mp-31077,5.427899986
mp-567780,4.309394344
mp-540822,4.346721813
mp-568396,3.412129522
mp-640052,4.092751151
mp-23336,3.33769037
mp-1205742,6.761534217
mp-29398,4.629361712
mp-1112642,4.06981005
mp-23399,4.083440731
mp-1193173,3.73943653
mp-27871,4.757663081
mp-27570,2.561197566
mp-567714,3.858200909
mp-30164,3.456385299
mp-10644,7.031515968
mp-1195363,4.109720668
mp-1103539,3.949129235
mp-27397,5.928656696
mp-1209693,4.074595548
mp-22990,3.536236864
mp-23059,2.954064587
mp-1192748,4.486211568
mp-616439,3.258171526
mp-22950,3.579747149
mp-16848,5.470036249
mp-1238793,4.4333086
mp-1209302,2.875565037
mp-1069538,4.535852458
mp-1205554,6.892913589
mp-571648,2.778416343
mp-23232,4.425671475
mp-7449,4.092483448
mp-1112651,3.605602097
mp-571265,4.16944264
mp-582024,3.482114575
mp-541899,4.332299359
mp-1205840,3.242496931
mp-1541714,3.118908841
mp-22975,2.918560908
mp-568753,4.231081253
mp-1200099,3.45111118
mp-1025396,6.442221863
mp-28558,3.557395553
mp-672251,3.487248135
mp-1185576,4.885291067
mp-23475,3.371127627
mp-28145,3.084245362
mp-608555,3.269383582
mp-29613,5.179492163
mp-1211520,3.185504657
mp-14242,6.175528205
mp-27394,3.144983915
mp-28421,4.34955882
mp-567558,3.922248311
mp-27734,3.94264798
mp-23032,3.459594963
mp-1238804,4.171106249
mp-1105622,3.219561207
mp-27398,5.039757483
mp-27147,3.88167037
mp-30018,3.742790663
mp-1443,4.472517458
mp-27829,2.789829761
mp-29336,3.506937197
mp-1205388,4.379963455
mp-29612,5.108092021
mp-862947,7.562824221
mp-998761,7.473718976
mp-1104676,3.895381089
mp-540998,3.623511365
mp-22988,3.082235393
mp-667295,3.926419266
mp-30520,4.617963541
mp-28483,4.176017946
mp-998611,2.9380281
mp-1188465,3.822120308
mp-1096925,4.046034248
mp-1201774,3.995894869
mp-574138,4.433935158
mp-23165,6.014769329
mp-8378,5.758768091
mp-1205772,3.10375166
mp-29449,3.118848662
mp-669308,4.498973827
mp-28368,4.841175613
mp-510268,4.739300369
mp-571146,4.445907321
mp-27783,4.514446192
mp-29237,6.677159979
mp-29895,4.393114723
mp-1209423,4.358137458
mp-568895,7.858637208
mp-504451,3.146318577
mp-866654,4.11392513
mp-4876,7.057791031
mp-1190886,3.579954681
mp-23484,4.429148845
mp-610738,4.277118177
mp-980659,5.403873159
mp-23017,4.524977072
mp-676130,6.183782813
mp-27373,3.915421436
mp-23465,3.14672868
mp-23350,3.629656629
mp-998711,5.22537556
mp-606510,4.820912961
mp-27629,3.179659423
mp-14340,5.16558359
mp-1206568,3.332241311
mp-1209533,3.20855958
mp-33498,2.867381322
mp-571448,3.799754178
mp-676274,8.270047812
mp-29889,4.783295585
mp-27830,3.046399591
mp-2969,4.464117799
mp-675989,8.555398443
mp-23425,3.572716138
mp-1078085,3.114174894
mp-5818,6.311170845
mp-998778,3.980406335
mp-27301,4.251460706
mp-541055,4.005427615
